XuatXu,TinhTrang,DongXe,SoKmDaDi,MauNgoaiThat,MauNoiThat,SoCua,SoChoNgoi,HopSo,DanDong,Hang,Grade,NamSanXuat,LoaiDongCo,DungTich,Gia
1,0,2,0,1,2,5,7,1,1,4,12,2023,2,2,1475
1,0,2,0,6,2,5,5,1,2,1,42,2022,1,2,999
1,0,2,0,4,2,5,7,1,1,4,12,2023,2,2,1468
0,0,3,0,1,3,5,8,1,4,2,3,2023,1,2,870
1,0,7,0,5,4,5,5,1,3,2,13,2023,1,1.5,684
0,0,2,0,1,2,5,5,1,3,8,38,2023,1,2,794
1,0,5,0,5,2,4,5,1,3,3,43,2023,1,1.5,875
0,0,6,0,1,2,4,5,0,1,4,8,2023,2,2.2,659
0,0,6,0,2,2,4,5,1,4,4,8,2023,2,2.2,688
0,0,4,0,1,5,4,3,0,4,4,9,2023,2,2.2,849
0,0,3,0,1,2,5,5,1,3,6,26,2022,2,2,115
0,0,5,0,5,4,4,5,1,3,6,24,2022,1,1.4,451
0,0,2,0,3,3,5,7,1,2,6,25,2022,2,2.2,1205
0,0,5,0,1,4,4,5,1,3,6,24,2022,1,1.4,482
0,0,5,0,1,1,4,5,0,3,6,24,2022,1,1.4,406
0,0,5,0,1,6,4,5,1,3,6,29,2023,1,1.25,415
0,0,7,0,1,2,5,5,0,3,6,29,2022,1,1.25,333
1,0,7,0,1,2,5,5,1,3,1,35,2023,1,1.2,559
0,0,2,0,1,2,5,5,1,2,7,22,2022,1,2,2129
0,0,2,0,1,3,5,7,1,2,6,25,2022,2,2.2,1205
1,0,2,0,3,1,5,7,0,3,1,44,2022,1,1.5,499
0,0,5,0,4,4,4,5,1,3,6,24,2022,1,1.4,482
1,0,3,0,2,2,5,5,1,3,6,28,2022,1,1.5,569
0,0,3,0,1,2,5,5,1,3,6,26,2022,1,2,786
0,0,2,0,5,3,5,7,1,2,6,25,2022,1,2.5,1178
0,0,2,0,2,3,5,7,1,2,6,25,2022,1,2.5,1201
0,0,2,0,1,3,5,7,1,3,6,25,2022,1,2.5,110
0,0,7,0,5,2,5,5,1,3,6,29,2023,1,1.25,399
0,0,3,0,2,2,5,5,1,3,6,26,2022,1,2,786
0,0,4,0,1,4,5,8,1,3,9,45,2022,2,2.2,1289
1,0,8,0,1,3,5,5,1,2,1,19,2023,1,2,2690
1,0,2,0,4,3,5,5,1,2,1,46,2023,1,2,2320
1,0,2,0,4,3,5,7,1,2,1,17,2023,4,2,4650
0,0,2,0,4,2,5,7,1,2,8,47,2022,1,2.5,1169
0,0,2,0,1,3,5,7,0,4,2,7,2022,2,2.4,126
0,0,2,0,1,2,5,7,1,3,8,47,2022,1,2.5,997
1,0,2,0,3,2,5,7,1,1,4,12,2023,2,2,1468
1,0,2,0,4,2,5,7,1,4,4,12,2023,2,2,1178
0,0,6,0,5,2,4,5,1,1,4,8,2023,2,2.2,830
0,0,2,0,5,5,5,5,1,3,4,48,2023,1,1.5,909
1,0,2,0,5,2,5,7,1,2,4,49,2023,1,2.3,2439
0,0,6,0,4,2,4,5,1,1,4,8,2023,2,2,965
0,0,2,0,2,5,5,5,1,3,4,48,2023,1,1.5,954
1,0,6,0,1,2,4,5,1,1,4,8,2023,2,2,1299
1,0,2,0,1,2,5,7,0,3,1,44,2022,1,1.5,499
0,0,2,0,5,2,5,5,1,3,4,48,2023,1,1.5,954
1,0,2,0,1,2,5,7,1,4,2,7,2022,1,2.7,118
0,0,2,0,1,2,5,5,1,3,8,38,2023,1,2,759
0,0,2,0,1,6,5,5,1,3,8,38,2022,1,2,759
1,0,1,0,1,1,2,2,0,4,1,33,2022,1,1.5,318
1,0,1,0,1,1,2,2,0,4,1,33,2023,1,1.5,324
1,0,6,0,1,5,4,5,1,4,5,50,2023,2,2.4,650
0,0,2,0,5,2,5,5,1,3,8,38,2023,1,2,819
0,0,2,0,5,2,5,5,1,2,8,38,2023,1,2.5,959
0,0,2,0,5,2,5,5,1,3,8,38,2023,1,2,819
0,0,2,0,1,2,5,5,1,3,8,38,2023,1,2,799
0,0,7,0,5,5,5,5,1,3,8,23,2023,1,1.5,714
1,0,6,0,2,2,4,5,1,4,5,50,2023,2,2.4,650
1,0,7,0,5,4,5,5,1,3,8,51,2023,1,1.5,517
0,0,6,0,2,2,4,5,1,4,4,8,2023,2,2.2,688
0,0,6,0,2,6,4,5,1,1,4,8,2023,2,2.2,790
0,0,2,0,1,2,5,7,1,4,2,7,2022,2,2.4,118
0,0,5,0,1,4,4,5,1,3,2,11,2023,1,1.5,592
1,0,4,0,2,2,5,7,1,3,2,52,2023,1,3.5,4280
0,0,5,0,1,2,4,5,1,3,8,23,2023,1,1.5,599
1,0,6,0,4,2,4,5,1,1,4,8,2023,2,2,1299
0,0,6,0,1,2,4,5,1,1,4,8,2023,2,2.2,780
0,0,6,0,4,2,4,5,1,4,4,8,2023,2,2.2,628
0,0,6,0,4,2,4,5,1,1,4,8,2023,2,2,930
1,0,2,0,1,3,5,5,1,2,1,53,2021,1,2,590
1,0,2,0,5,2,5,7,1,2,1,54,2021,1,3,755
0,0,6,0,1,2,4,5,1,4,4,8,2023,2,2.2,688
0,0,2,0,2,1,5,7,1,4,2,7,2022,2,2.4,1118
0,0,2,0,3,1,5,7,0,4,2,7,2022,2,2.4,126
1,0,5,0,5,2,4,5,1,3,5,55,2022,1,1.2,465
0,0,2,0,5,6,5,5,1,3,8,38,2022,1,2,819
1,0,5,0,1,5,4,5,0,3,5,55,2022,1,1.2,380
1,0,1,0,1,1,2,2,0,4,1,33,2023,1,1.5,349
0,1,5,59000,4,4,4,5,0,3,2,11,2016,1,1.5,311
0,0,2,0,5,2,5,5,1,3,8,38,2023,1,2,819
0,0,2,0,5,6,5,5,1,4,7,22,2022,1,2,1859
1,0,2,0,5,3,5,7,1,4,4,12,2023,2,2,1239
0,0,6,0,1,1,4,5,1,4,4,8,2022,2,2.2,643
0,0,6,0,1,5,4,5,0,1,4,8,2022,2,2.2,619
1,0,3,0,1,1,5,7,1,4,2,56,2023,1,1.5,548
1,0,5,0,1,2,4,5,1,3,5,55,2023,1,1.2,465
1,0,5,0,1,2,4,5,0,3,5,55,2023,1,1.2,380
1,0,2,0,4,1,5,7,1,3,1,57,2023,1,1.5,599
1,0,2,0,1,3,5,7,1,1,4,12,2022,2,2,1419
1,1,5,85000,1,4,4,5,1,4,7,39,2006,1,3.5,535
1,0,2,0,2,2,5,7,1,3,1,57,2022,1,1.5,599
1,0,5,0,2,3,4,5,1,4,1,58,2022,1,2,4279
